Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Thermostat Air Temperature [C](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/16  19:00:00,2.875,20.0000000000001,1677492.02810003 
 01/16  20:00:00,2.2375,20.,2835777.38534381 
 01/16  21:00:00,2.15,20.,1824364.55720575 
 01/16  22:00:00,1.8625,20.,1350806.13771297 
 01/16  23:00:00,2.1625,20.,1432440.0555185 
 01/16  24:00:00,3.625,20.,1760668.20323227 
 01/17  01:00:00,5.2375,20.,1245238.73851629 
 01/17  02:00:00,6.425,20.,986825.325487187 
 01/17  03:00:00,7.3625,20.,1323367.9203978 
 01/17  04:00:00,7.7625,20.0000000000001,1926749.21981424 
 01/17  05:00:00,7.7375,20.0000000000001,1926983.73354465 
 01/17  06:00:00,7.7,20.0000000000001,1937078.98894064 
 01/17  07:00:00,6.2,20.0000000000001,2037744.49082411 
 01/17  08:00:00,5.3,20.,1897111.29334254 
 01/17  09:00:00,5.3625,20.,1597961.48046275 
 01/17  10:00:00,5.4625,20.,1425083.322377 
 01/17  11:00:00,5.4375,20.,308629.063364173 
 01/17  12:00:00,4.15,20.0844510061917,250955.695408562 
 01/17  13:00:00,4.025,20.0006953523102,1044199.75252297 
 01/17  14:00:00,4.4625,20.0000000000309,1139498.54705631 
 01/17  15:00:00,3.625,20.,1929215.32988367 
 01/17  16:00:00,2.975,20.,1728555.15067119 
 01/17  17:00:00,3.3375,20.,2605426.41108674 
 01/17  18:00:00,3.0375,20.,2033458.69128516 
 01/17  19:00:00,2.6375,20.,2391757.92485355 
 01/17  20:00:00,2.2875,20.,2103740.30079632 
 01/17  21:00:00,2.0375,20.,2037355.18624044 
 01/17  22:00:00,2.125,20.,1376751.99825037 
 01/17  23:00:00,1.8875,20.,1636189.88403542 
 01/17  24:00:00,1.6375,20.,1659998.58199558 
 01/18  01:00:00,1.7875,20.,1386516.35098696 
 01/18  02:00:00,1.8375,20.,1362295.38733623 
 01/18  03:00:00,1.8625,20.0000000000001,2078510.7118057 
 01/18  04:00:00,1.5875,20.,2136188.80907059 
 01/18  05:00:00,1.4,20.0000000000001,2812324.61473444 
 01/18  06:00:00,1.15,20.,2890248.25823723 
 01/18  07:00:00,1.375,20.0000000000001,2978348.34165991 
 01/18  08:00:00,1.5375,20.,3334673.60367929 
 01/18  09:00:00,1.5625,20.,2970899.41382434 
 01/18  10:00:00,1.9125,20.,2830363.082773 
 01/18  11:00:00,2.5375,20.,1191220.3121808 
 01/18  12:00:00,3.175,20.,1126904.34688468 
 01/18  13:00:00,3.775,20.,604706.517868437 
 01/18  14:00:00,4.3125,20.2703298555819,59161.0951891313 
 01/18  15:00:00,4.4375,20.6888312741295,0.0 
 01/18  16:00:00,4.025,20.3598545671027,0.0 
 01/18  17:00:00,3.55,20.0000269059152,543245.73256303 
 01/18  18:00:00,3.275,20.0000000000005,1663088.66479228 
 01/18  19:00:00,3.0125,20.,1506118.06104726 
 01/18  20:00:00,3.025,20.,1194593.10011851 
 01/18  21:00:00,2.9125,20.,1196811.33186563 
 01/18  22:00:00,2.4875,19.9999999999999,1240431.00595581 
 01/18  23:00:00,1.6125,19.9999999999999,1363593.38663884 
 01/18  24:00:00,0.825,20.,1556293.42365446 
 01/19  01:00:00,0.35,20.,1702114.60886854 
 01/19  02:00:00,7.500000000000000E-02,19.9999999999999,1789625.31658408 
 01/19  03:00:00,-0.125,19.9999999999999,2527884.21270676 
 01/19  04:00:00,-7.500000000000000E-02,19.9999999999999,3101360.9125784 
 01/19  05:00:00,-0.25,20.,3349082.07244809 
 01/19  06:00:00,-0.2125,20.,3360759.23000503 
 01/19  07:00:00,-0.1625,20.0000000000001,3271724.48432627 
 01/19  08:00:00,-7.500000000000000E-02,20.0000000000001,3914878.82354162 
 01/19  09:00:00,0.125,20.,3223328.6355309 
